Voter,Constituency,PollingStation,Candidate
v2064,Kaij,p15,ChaitanSharma
v2065,Kaij,p16,AnaghBanerjee
v2066,Mukhed,p36,BhooshanKaniyar
v2067,Hingna,p21,HiranyaKhatri
v2068,Chembur,p31,VedaNaik
v2069,Mahad,p43,BhishamGandhi
v2070,Chembur,p31,SanyaKaniyar
v2071,Kaij,p17,AnaghBanerjee
v2072,Ulhasnagar,p12,DeeptenduMenon
v2073,Kaij,p18,NOTA
v2074,Teosa,p8,BhagwantiPatel
v2075,Mahad,p42,LakshmanPillai
v2076,Chembur,p34,ChandramohanAhuja
v2077,Chembur,p32,VedaNaik
v2078,Niphad,p3,PranBanerjee
v2079,Teosa,p8,NOTA
v2080,Ulhasnagar,p11,DeeptenduMenon
v2081,Karanja,p47,PoornimaTalwar
v2082,Karanja,p49,NOTA
v2083,Niphad,p1,PranBanerjee
v2084,Karanja,p46,AnalMalik
v2085,Mahad,p43,BhishamGandhi
v2086,Niphad,p4,KamaVarma
v2087,Hingna,p20,HiranyaKhatri
v2088,Teosa,p6,RageshwariNaik
v2089,Hingna,p21,NOTA
v2090,Mukhed,p37,NawalTandon
v2091,Mahad,p43,NOTA
v2092,Hingna,p21,BaijayantiJain
v2093,Baglan,p29,UrmilaBhat
v2094,Ulhasnagar,p11,DeeptenduMenon
v2095,Mahad,p44,AmritaJha
v2096,Chembur,p33,VedaNaik
v2097,Kaij,p16,ChaitanSharma
v2098,Kaij,p19,AnaghBanerjee
v2099,Ulhasnagar,p12,MeghnadPrajapat
v2100,Hingna,p22,ShardaAdiga
v2101,Ulhasnagar,p12,SwaraIyer
v2102,Karanja,p45,PoornimaTalwar
v2103,Baglan,p28,KanakPandey
v2104,Niphad,p2,KamaVarma
v2105,Mukhed,p35,BhooshitDwivedi
v2106,Chembur,p32,NOTA
v2107,Hingna,p22,BaijayantiJain
v2108,Mukhed,p36,NawalTandon
v2109,Kaij,p15,ChaitanSharma
v2110,Hingna,p23,HiranyaKhatri
v2111,Kaij,p15,AnaghBanerjee
v2112,Mahad,p44,BhishamGandhi
v2113,Hingna,p21,BaijayantiJain
v2114,Mukhed,p39,BhaaswarMarar
v2115,Baglan,p26,DiptenduNamboothiri
v2116,Hingna,p20,NOTA
v2117,Mukhed,p36,BhooshanKaniyar
v2118,Mahad,p41,AmritaJha
v2119,Mukhed,p37,NawalTandon
v2120,Baglan,p25,NOTA
v2121,Kaij,p15,AnaghBanerjee
v2122,Niphad,p3,NOTA
v2123,Mahad,p43,AmritaJha
v2124,Chembur,p34,VedaNaik
v2125,Karanja,p47,AnalMalik
v2126,Teosa,p5,NOTA
v2127,Ulhasnagar,p10,BhavesChaturvedi
v2128,Mahad,p41,NOTA
v2129,Karanja,p45,NavinGupta
v2130,Chembur,p30,DinakarShah
v2131,Baglan,p26,DiptenduNamboothiri
v2132,Teosa,p6,NOTA
v2133,Kaij,p18,AnaghBanerjee
v2134,Mahad,p43,AmritaJha
v2135,Baglan,p25,DiptenduNamboothiri
v2136,Ulhasnagar,p10,BhavesChaturvedi
v2137,Mahad,p41,LakshmanPillai
v2138,Teosa,p5,TarunDesai
v2139,Baglan,p27,NOTA
v2140,Kaij,p18,ChaitanSharma
v2141,Kaij,p18,ChaitanSharma
v2142,Chembur,p33,SanyaKaniyar
v2143,Baglan,p27,UrmilaBhat
v2144,Mahad,p40,LakshmanPillai
v2145,Mukhed,p38,BhaaswarMarar
v2146,Hingna,p20,BaijayantiJain
v2147,Chembur,p30,SanyaKaniyar
v2148,Hingna,p20,NOTA
v2149,Chembur,p30,NOTA
v2150,Ulhasnagar,p12,MeghnadPrajapat
v2151,Niphad,p2,PranBanerjee
v2152,Niphad,p4,KamaVarma
v2153,Mahad,p41,NOTA
v2154,Ulhasnagar,p14,MeghnadPrajapat
v2155,Hingna,p20,ShardaAdiga
v2156,Mukhed,p36,BhooshanKaniyar
v2157,Hingna,p24,NOTA
v2158,Ulhasnagar,p11,MeghnadPrajapat
v2159,Karanja,p47,NOTA
v2160,Karanja,p46,NavinGupta
v2161,Chembur,p34,DinakarShah
v2162,Baglan,p25,KanakPandey
v2163,Hingna,p24,BaijayantiJain
v2164,Baglan,p27,DiptenduNamboothiri
v2165,Chembur,p32,VedaNaik
v2166,Ulhasnagar,p12,SwaraIyer
v2167,Niphad,p2,NOTA
v2168,Mukhed,p36,BhaaswarMarar
v2169,Ulhasnagar,p13,DhanapatiKhan
v2170,Teosa,p9,RajAsan
v2171,Chembur,p33,NOTA
v2172,Baglan,p28,KanakPandey
v2173,Ulhasnagar,p14,AnamikaPilla
v2174,Teosa,p8,RajAsan
v2175,Baglan,p29,NOTA
v2176,Hingna,p21,ShardaAdiga
v2177,Mukhed,p38,BhooshitDwivedi
v2178,Mahad,p42,BhishamGandhi
v2179,Chembur,p31,ChandramohanAhuja
v2180,Kaij,p15,NOTA
v2181,Mukhed,p37,NOTA
v2182,Niphad,p3,ChidambarPanicker
v2183,Teosa,p7,KamalaSaini
v2184,Teosa,p7,AmareshKakkar
v2185,Hingna,p21,NOTA
v2186,Kaij,p18,ChaitanSharma
v2187,Chembur,p33,VedaNaik
v2188,Mukhed,p37,UditGill
v2189,Karanja,p49,SwarnalataJoshi
v2190,Chembur,p34,SanyaKaniyar
v2191,Mukhed,p39,BhaaswarMarar
v2192,Teosa,p8,RageshwariNaik
v2193,Teosa,p6,AmareshKakkar
v2194,Kaij,p17,AnaghBanerjee
v2195,Niphad,p3,PranBanerjee
v2196,Mahad,p43,NOTA
v2197,Niphad,p2,PranBanerjee
v2198,Ulhasnagar,p10,DhanapatiKhan
v2199,Hingna,p24,NOTA
v2200,Mukhed,p37,NOTA
v2201,Niphad,p3,KamaVarma
v2202,Kaij,p17,AnaghBanerjee
v2203,Teosa,p7,TarunDesai
v2204,Kaij,p19,ChaitanSharma
v2205,Hingna,p23,NOTA
v2206,Teosa,p7,TarunDesai
v2207,Chembur,p30,NOTA
v2208,Mahad,p44,BhishamGandhi
v2209,Niphad,p3,ChidambarPanicker
v2210,Mahad,p42,AmritaJha
v2211,Kaij,p17,ChaitanSharma
v2212,Hingna,p23,BaijayantiJain
v2213,Kaij,p19,NOTA
v2214,Chembur,p30,ChandramohanAhuja
v2215,Karanja,p49,NOTA
v2216,Ulhasnagar,p13,SwaraIyer
v2217,Teosa,p7,NOTA
v2218,Chembur,p30,ChandramohanAhuja
v2219,Karanja,p47,PoornimaTalwar
v2220,Hingna,p23,HiranyaKhatri
v2221,Chembur,p32,ChandramohanAhuja
v2222,Teosa,p7,RageshwariNaik
v2223,Chembur,p32,NOTA
v2224,Mahad,p40,AmritaJha
v2225,Kaij,p19,NOTA
v2226,Mahad,p42,BhishamGandhi
v2227,Teosa,p6,RageshwariNaik
v2228,Karanja,p45,SwarnalataJoshi
v2229,Baglan,p28,KanakPandey
v2230,Ulhasnagar,p12,SwaraIyer
v2231,Teosa,p7,BhagwantiPatel
v2232,Mahad,p43,AmritaJha
v2233,Mahad,p42,BhishamGandhi
v2234,Ulhasnagar,p14,BhavesChaturvedi
v2235,Baglan,p28,UrmilaBhat
v2236,Mahad,p42,BhishamGandhi
v2237,Karanja,p46,PoornimaTalwar
v2238,Teosa,p5,RajAsan
v2239,Mukhed,p38,NOTA
v2240,Niphad,p3,ChidambarPanicker
v2241,Karanja,p49,AnalMalik
v2242,Kaij,p15,NOTA
v2243,Hingna,p21,BaijayantiJain
v2244,Kaij,p17,NOTA
v2245,Mukhed,p38,BhooshitDwivedi
v2246,Baglan,p28,NOTA
v2247,Hingna,p20,ShardaAdiga
v2248,Baglan,p25,DiptenduNamboothiri
v2249,Karanja,p48,AnalMalik
v2250,Niphad,p2,ChidambarPanicker
v2251,Chembur,p31,DinakarShah
v2252,Chembur,p32,SanyaKaniyar
v2253,Karanja,p47,PoornimaTalwar
v2254,Hingna,p24,BaijayantiJain
v2255,Niphad,p2,ChidambarPanicker
v2256,Hingna,p22,ShardaAdiga
v2257,Kaij,p15,NOTA
v2258,Mukhed,p39,BhooshanKaniyar
v2259,Kaij,p15,AnaghBanerjee
v2260,Karanja,p49,NavinGupta
v2261,Niphad,p1,PranBanerjee
v2262,Niphad,p1,NOTA
v2263,Chembur,p32,SanyaKaniyar
v2264,Baglan,p25,UrmilaBhat
v2265,Baglan,p27,KanakPandey
v2266,Ulhasnagar,p12,BhavesChaturvedi
v2267,Mukhed,p35,NOTA
v2268,Mukhed,p38,NOTA
v2269,Mahad,p40,NOTA
v2270,Karanja,p49,NavinGupta
v2271,Mukhed,p36,UditGill
v2272,Niphad,p2,PranBanerjee
v2273,Niphad,p4,KamaVarma
v2274,Mukhed,p38,BhooshitDwivedi
v2275,Mukhed,p38,UditGill
v2276,Baglan,p25,KanakPandey
v2277,Mahad,p40,AmritaJha
v2278,Kaij,p16,AnaghBanerjee
v2279,Niphad,p1,NOTA
v2280,Chembur,p33,NOTA
v2281,Teosa,p8,BhagwantiPatel
v2282,Karanja,p49,AnalMalik
v2283,Kaij,p15,NOTA
v2284,Karanja,p47,PoornimaTalwar
v2285,Teosa,p8,AmareshKakkar
v2286,Kaij,p17,NOTA
v2287,Karanja,p49,AnalMalik
v2288,Kaij,p15,AnaghBanerjee
v2289,Teosa,p5,VinayDeshpande
v2290,Kaij,p18,NOTA
v2291,Niphad,p4,NOTA
v2292,Kaij,p19,NOTA
v2293,Kaij,p19,AnaghBanerjee
v2294,Karanja,p49,AnalMalik
v2295,Ulhasnagar,p10,MeghnadPrajapat
v2296,Baglan,p27,KanakPandey
v2297,Baglan,p29,UrmilaBhat
v2298,Niphad,p2,KamaVarma
v2299,Ulhasnagar,p10,AnamikaPilla
v2300,Mahad,p41,NOTA
v2301,Mukhed,p36,BhaaswarMarar
v2302,Mukhed,p36,BhooshitDwivedi
v2303,Teosa,p5,NOTA
v2304,Ulhasnagar,p10,DhanapatiKhan
v2305,Baglan,p26,NOTA
v2306,Karanja,p45,SwarnalataJoshi
v2307,Baglan,p27,UrmilaBhat
v2308,Karanja,p47,NOTA
v2309,Kaij,p19,ChaitanSharma
v2310,Kaij,p16,AnaghBanerjee
v2311,Mukhed,p39,BhooshitDwivedi
v2312,Niphad,p0,NOTA
v2313,Chembur,p32,NOTA
v2314,Mahad,p42,LakshmanPillai
v2315,Mahad,p43,NOTA
v2316,Hingna,p20,HiranyaKhatri
v2317,Hingna,p23,HiranyaKhatri
v2318,Kaij,p16,ChaitanSharma
v2319,Karanja,p49,NOTA
v2320,Ulhasnagar,p12,DeeptenduMenon
v2321,Niphad,p1,KamaVarma
v2322,Teosa,p7,VinayDeshpande
v2323,Kaij,p17,AnaghBanerjee
v2324,Mukhed,p36,NOTA
v2325,Karanja,p49,SwarnalataJoshi
v2326,Hingna,p23,ShardaAdiga
v2327,Baglan,p27,KanakPandey
v2328,Chembur,p33,DinakarShah
v2329,Niphad,p0,ChidambarPanicker
v2330,Ulhasnagar,p10,DeeptenduMenon
v2331,Mukhed,p35,UditGill
v2332,Ulhasnagar,p10,AnamikaPilla
v2333,Karanja,p45,AnalMalik
v2334,Chembur,p30,NOTA
v2335,Ulhasnagar,p11,MeghnadPrajapat
v2336,Karanja,p45,NavinGupta
v2337,Niphad,p3,PranBanerjee
v2338,Chembur,p30,ChandramohanAhuja
v2339,Baglan,p29,UrmilaBhat
v2340,Hingna,p21,HiranyaKhatri
v2341,Baglan,p28,KanakPandey
v2342,Karanja,p45,NOTA
v2343,Niphad,p0,NOTA
v2344,Chembur,p31,DinakarShah
v2345,Chembur,p33,DinakarShah
v2346,Ulhasnagar,p14,MeghnadPrajapat
v2347,Teosa,p5,KamalaSaini
v2348,Kaij,p18,AnaghBanerjee
v2349,Mahad,p42,BhishamGandhi
v2350,Karanja,p45,SwarnalataJoshi
v2351,Karanja,p45,NOTA
v2352,Karanja,p48,SwarnalataJoshi
v2353,Hingna,p24,BaijayantiJain
v2354,Baglan,p29,KanakPandey
v2355,Kaij,p16,NOTA
v2356,Mukhed,p35,NOTA
v2357,Teosa,p7,BhagwantiPatel
v2358,Hingna,p24,NOTA
v2359,Ulhasnagar,p12,MeghnadPrajapat
v2360,Niphad,p1,ChidambarPanicker
v2361,Niphad,p3,KamaVarma
v2362,Mukhed,p38,BhooshanKaniyar
v2363,Niphad,p1,ChidambarPanicker
v2364,Ulhasnagar,p10,MeghnadPrajapat
v2365,Chembur,p30,SanyaKaniyar
v2366,Mahad,p40,LakshmanPillai
v2367,Teosa,p6,AmareshKakkar
v2368,Chembur,p31,DinakarShah
v2369,Hingna,p21,ShardaAdiga
v2370,Mahad,p42,LakshmanPillai
v2371,Chembur,p33,DinakarShah
v2372,Niphad,p0,KamaVarma
v2373,Karanja,p47,AnalMalik
v2374,Baglan,p28,UrmilaBhat
v2375,Mahad,p40,LakshmanPillai
v2376,Mukhed,p36,NOTA
v2377,Teosa,p7,TarunDesai
v2378,Mahad,p44,NOTA
v2379,Hingna,p23,NOTA
v2380,Chembur,p34,SanyaKaniyar
v2381,Baglan,p25,NOTA
v2382,Ulhasnagar,p11,BhavesChaturvedi
v2383,Niphad,p2,NOTA
v2384,Mukhed,p37,NawalTandon
v2385,Baglan,p26,DiptenduNamboothiri
v2386,Karanja,p49,PoornimaTalwar
v2387,Baglan,p26,KanakPandey
v2388,Mahad,p41,AmritaJha
v2389,Ulhasnagar,p14,DhanapatiKhan
v2390,Mukhed,p38,NOTA
v2391,Kaij,p19,AnaghBanerjee
v2392,Mahad,p40,BhishamGandhi
v2393,Ulhasnagar,p10,NOTA
v2394,Kaij,p19,NOTA
v2395,Teosa,p6,RageshwariNaik
v2396,Kaij,p17,ChaitanSharma
v2397,Ulhasnagar,p12,AnamikaPilla
v2398,Niphad,p3,NOTA
v2399,Hingna,p21,BaijayantiJain
v2400,Niphad,p0,KamaVarma
v2401,Kaij,p17,NOTA
v2402,Mahad,p42,AmritaJha
v2403,Hingna,p23,ShardaAdiga
v2404,Ulhasnagar,p13,SwaraIyer
v2405,Karanja,p45,AnalMalik
v2406,Karanja,p47,NavinGupta
v2407,Hingna,p22,NOTA
v2408,Kaij,p19,AnaghBanerjee
v2409,Karanja,p46,NavinGupta
v2410,Teosa,p6,VinayDeshpande
v2411,Ulhasnagar,p13,MeghnadPrajapat
v2412,Niphad,p1,PranBanerjee
v2413,Kaij,p17,NOTA
v2414,Teosa,p7,TarunDesai
v2415,Mahad,p43,AmritaJha
v2416,Niphad,p1,ChidambarPanicker
v2417,Mahad,p44,LakshmanPillai
v2418,Ulhasnagar,p14,MeghnadPrajapat
v2419,Kaij,p19,ChaitanSharma
v2420,Mukhed,p38,BhooshitDwivedi
v2421,Teosa,p5,AmareshKakkar
v2422,Kaij,p19,NOTA
v2423,Teosa,p7,TarunDesai
v2424,Niphad,p0,PranBanerjee
v2425,Hingna,p22,NOTA
v2426,Karanja,p48,PoornimaTalwar
v2427,Teosa,p5,RageshwariNaik
v2428,Chembur,p30,SanyaKaniyar
v2429,Kaij,p18,NOTA
v2430,Niphad,p4,ChidambarPanicker
v2431,Mahad,p40,LakshmanPillai
v2432,Mahad,p42,NOTA
v2433,Niphad,p4,PranBanerjee
v2434,Chembur,p31,ChandramohanAhuja
v2435,Teosa,p6,KamalaSaini
v2436,Ulhasnagar,p13,BhavesChaturvedi
v2437,Karanja,p48,PoornimaTalwar
v2438,Ulhasnagar,p11,DeeptenduMenon
v2439,Hingna,p22,BaijayantiJain
v2440,Niphad,p4,KamaVarma
v2441,Baglan,p27,KanakPandey
v2442,Karanja,p47,AnalMalik
v2443,Niphad,p2,NOTA
v2444,Mahad,p41,NOTA
v2445,Kaij,p19,NOTA
v2446,Kaij,p19,NOTA
v2447,Teosa,p8,NOTA
v2448,Niphad,p4,KamaVarma
v2449,Chembur,p34,VedaNaik
v2450,Teosa,p6,RajAsan
v2451,Kaij,p19,ChaitanSharma
v2452,Kaij,p16,AnaghBanerjee
v2453,Niphad,p0,ChidambarPanicker
v2454,Chembur,p32,NOTA
v2455,Ulhasnagar,p14,DeeptenduMenon
v2456,Teosa,p5,TarunDesai
v2457,Chembur,p31,DinakarShah
v2458,Ulhasnagar,p13,SwaraIyer
v2459,Chembur,p34,VedaNaik
v2460,Baglan,p28,UrmilaBhat
v2461,Hingna,p20,NOTA
v2462,Kaij,p19,AnaghBanerjee
v2463,Teosa,p5,RageshwariNaik
v2464,Kaij,p18,ChaitanSharma
v2465,Baglan,p28,UrmilaBhat
v2466,Karanja,p45,AnalMalik
v2467,Chembur,p34,SanyaKaniyar
v2468,Niphad,p0,KamaVarma
v2469,Hingna,p23,NOTA
v2470,Mukhed,p37,BhaaswarMarar
v2471,Karanja,p48,PoornimaTalwar
v2472,Teosa,p5,AmareshKakkar
v2473,Niphad,p2,NOTA
v2474,Teosa,p7,TarunDesai
v2475,Mahad,p44,AmritaJha
v2476,Mukhed,p37,UditGill
v2477,Teosa,p9,VinayDeshpande
v2478,Kaij,p16,ChaitanSharma
v2479,Baglan,p28,UrmilaBhat
v2480,Karanja,p45,PoornimaTalwar
v2481,Mukhed,p35,UditGill
v2482,Kaij,p17,NOTA
v2483,Ulhasnagar,p12,MeghnadPrajapat
v2484,Chembur,p31,NOTA
v2485,Chembur,p30,DinakarShah
v2486,Hingna,p22,ShardaAdiga
v2487,Karanja,p49,PoornimaTalwar
v2488,Ulhasnagar,p10,AnamikaPilla
v2489,Kaij,p15,AnaghBanerjee
v2490,Ulhasnagar,p14,NOTA
v2491,Kaij,p18,ChaitanSharma
v2492,Ulhasnagar,p11,AnamikaPilla
v2493,Niphad,p3,PranBanerjee
v2494,Teosa,p6,RajAsan
v2495,Mahad,p43,LakshmanPillai
v2496,Mahad,p43,AmritaJha
v2497,Karanja,p47,AnalMalik
v2498,Mahad,p43,BhishamGandhi
v2499,Mahad,p40,LakshmanPillai
v2500,Baglan,p28,DiptenduNamboothiri
v2501,Teosa,p5,RageshwariNaik
v2502,Kaij,p17,NOTA
v2503,Hingna,p24,ShardaAdiga
v2504,Teosa,p9,RajAsan
v2505,Karanja,p48,SwarnalataJoshi
v2506,Chembur,p30,NOTA
v2507,Chembur,p31,DinakarShah
v2508,Chembur,p32,NOTA
v2509,Teosa,p8,RageshwariNaik
v2510,Ulhasnagar,p14,DeeptenduMenon
v2511,Mahad,p40,NOTA
v2512,Mahad,p40,LakshmanPillai
v2513,Chembur,p32,SanyaKaniyar
v2514,Karanja,p49,PoornimaTalwar
v2515,Baglan,p27,NOTA
v2516,Teosa,p5,AmareshKakkar
v2517,Karanja,p46,NavinGupta
v2518,Mukhed,p39,BhooshitDwivedi
v2519,Mukhed,p37,NawalTandon
v2520,Chembur,p33,NOTA
v2521,Mahad,p43,LakshmanPillai
v2522,Mahad,p44,LakshmanPillai
v2523,Kaij,p17,ChaitanSharma
v2524,Ulhasnagar,p12,BhavesChaturvedi
v2525,Hingna,p21,NOTA
v2526,Teosa,p6,TarunDesai
v2527,Baglan,p27,UrmilaBhat
v2528,Chembur,p30,VedaNaik
v2529,Karanja,p49,AnalMalik
v2530,Mukhed,p37,BhooshanKaniyar
v2531,Hingna,p23,ShardaAdiga
v2532,Kaij,p19,NOTA
v2533,Niphad,p0,KamaVarma
v2534,Karanja,p46,NOTA
v2535,Hingna,p22,HiranyaKhatri
v2536,Niphad,p2,PranBanerjee
v2537,Baglan,p26,KanakPandey
v2538,Karanja,p47,NavinGupta
v2539,Mukhed,p38,BhooshitDwivedi
v2540,Baglan,p29,KanakPandey
v2541,Hingna,p20,ShardaAdiga
v2542,Teosa,p6,AmareshKakkar
v2543,Kaij,p15,ChaitanSharma
v2544,Niphad,p3,PranBanerjee
v2545,Kaij,p16,ChaitanSharma
v2546,Kaij,p18,AnaghBanerjee
v2547,Ulhasnagar,p10,NOTA
v2548,Niphad,p1,PranBanerjee
v2549,Chembur,p31,ChandramohanAhuja
v2550,Mahad,p44,LakshmanPillai
v2551,Teosa,p6,TarunDesai
v2552,Karanja,p48,AnalMalik
v2553,Kaij,p15,ChaitanSharma
v2554,Teosa,p8,AmareshKakkar
v2555,Mahad,p44,LakshmanPillai
v2556,Ulhasnagar,p13,SwaraIyer
v2557,Baglan,p26,KanakPandey
v2558,Hingna,p20,ShardaAdiga
v2559,Mahad,p40,NOTA
v2560,Niphad,p1,PranBanerjee
v2561,Hingna,p24,NOTA
v2562,Kaij,p18,AnaghBanerjee
v2563,Mukhed,p35,BhaaswarMarar
v2564,Karanja,p47,NavinGupta
v2565,Teosa,p9,RageshwariNaik
v2566,Hingna,p24,NOTA
v2567,Ulhasnagar,p10,BhavesChaturvedi
v2568,Karanja,p49,PoornimaTalwar
v2569,Niphad,p0,KamaVarma
v2570,Ulhasnagar,p14,DhanapatiKhan
v2571,Niphad,p2,PranBanerjee
v2572,Chembur,p30,ChandramohanAhuja
v2573,Niphad,p3,PranBanerjee
v2574,Ulhasnagar,p11,MeghnadPrajapat
v2575,Mukhed,p37,NawalTandon
v2576,Teosa,p8,KamalaSaini
v2577,Mukhed,p39,NOTA
v2578,Chembur,p34,DinakarShah
v2579,Karanja,p46,NavinGupta
v2580,Hingna,p24,ShardaAdiga
v2581,Kaij,p18,NOTA
v2582,Teosa,p7,RajAsan
v2583,Chembur,p30,DinakarShah
v2584,Chembur,p33,ChandramohanAhuja
v2585,Baglan,p25,NOTA
v2586,Teosa,p6,RajAsan
v2587,Mukhed,p39,BhaaswarMarar
v2588,Ulhasnagar,p12,DeeptenduMenon
v2589,Mukhed,p39,UditGill
v2590,Baglan,p28,DiptenduNamboothiri
v2591,Chembur,p33,SanyaKaniyar
v2592,Teosa,p9,TarunDesai
v2593,Baglan,p26,NOTA
v2594,Mahad,p40,AmritaJha
v2595,Niphad,p1,ChidambarPanicker
v2596,Ulhasnagar,p12,AnamikaPilla
v2597,Mukhed,p36,NOTA
v2598,Hingna,p23,NOTA
v2599,Karanja,p46,AnalMalik
v2600,Hingna,p24,HiranyaKhatri
v2601,Niphad,p1,KamaVarma
v2602,Kaij,p18,NOTA
v2603,Teosa,p5,RajAsan
v2604,Hingna,p22,ShardaAdiga
v2605,Ulhasnagar,p13,AnamikaPilla
v2606,Ulhasnagar,p10,DhanapatiKhan
v2607,Baglan,p28,UrmilaBhat
v2608,Mukhed,p36,UditGill
v2609,Kaij,p19,AnaghBanerjee
v2610,Ulhasnagar,p10,NOTA
v2611,Hingna,p24,ShardaAdiga
v2612,Ulhasnagar,p11,DeeptenduMenon
v2613,Mukhed,p35,BhaaswarMarar
v2614,Chembur,p34,VedaNaik
v2615,Kaij,p19,AnaghBanerjee
v2616,Mukhed,p36,NawalTandon
v2617,Hingna,p23,HiranyaKhatri
v2618,Hingna,p21,ShardaAdiga
v2619,Chembur,p31,ChandramohanAhuja
v2620,Niphad,p4,KamaVarma
v2621,Ulhasnagar,p11,AnamikaPilla
v2622,Kaij,p16,NOTA
v2623,Kaij,p19,NOTA
v2624,Chembur,p32,ChandramohanAhuja
v2625,Niphad,p0,KamaVarma
v2626,Ulhasnagar,p14,MeghnadPrajapat
v2627,Mahad,p40,LakshmanPillai
v2628,Baglan,p27,NOTA
v2629,Kaij,p19,NOTA
v2630,Niphad,p0,ChidambarPanicker
v2631,Karanja,p46,PoornimaTalwar
v2632,Chembur,p33,NOTA
v2633,Chembur,p30,SanyaKaniyar
v2634,Niphad,p1,ChidambarPanicker
v2635,Mukhed,p38,UditGill
v2636,Hingna,p22,NOTA
v2637,Ulhasnagar,p13,DeeptenduMenon
v2638,Kaij,p18,ChaitanSharma
v2639,Karanja,p46,NavinGupta
v2640,Ulhasnagar,p13,DeeptenduMenon
v2641,Kaij,p18,ChaitanSharma
v2642,Ulhasnagar,p13,MeghnadPrajapat
v2643,Kaij,p15,ChaitanSharma
v2644,Niphad,p1,ChidambarPanicker
v2645,Karanja,p47,AnalMalik
v2646,Mahad,p43,NOTA
v2647,Hingna,p22,NOTA
v2648,Mukhed,p39,NOTA
v2649,Niphad,p1,PranBanerjee
v2650,Kaij,p19,NOTA
v2651,Mukhed,p37,BhooshanKaniyar
v2652,Karanja,p45,NavinGupta
v2653,Kaij,p19,ChaitanSharma
v2654,Baglan,p29,KanakPandey
v2655,Hingna,p21,HiranyaKhatri
v2656,Teosa,p9,KamalaSaini
v2657,Teosa,p5,VinayDeshpande
v2658,Teosa,p5,RajAsan
v2659,Teosa,p6,VinayDeshpande
v2660,Ulhasnagar,p12,SwaraIyer
v2661,Chembur,p30,DinakarShah
v2662,Ulhasnagar,p12,NOTA
v2663,Niphad,p0,PranBanerjee
v2664,Kaij,p15,AnaghBanerjee
v2665,Mahad,p41,LakshmanPillai
v2666,Baglan,p28,NOTA
v2667,Niphad,p4,NOTA
v2668,Baglan,p26,KanakPandey
v2669,Teosa,p7,VinayDeshpande
v2670,Hingna,p23,ShardaAdiga
v2671,Niphad,p1,NOTA
v2672,Teosa,p8,VinayDeshpande
v2673,Mukhed,p39,BhaaswarMarar
v2674,Mahad,p44,LakshmanPillai
v2675,Ulhasnagar,p11,AnamikaPilla
v2676,Mukhed,p39,NOTA
v2677,Ulhasnagar,p12,BhavesChaturvedi
v2678,Niphad,p2,PranBanerjee
v2679,Baglan,p29,NOTA
v2680,Karanja,p46,NavinGupta
v2681,Mukhed,p37,BhaaswarMarar
v2682,Niphad,p3,KamaVarma
v2683,Niphad,p3,PranBanerjee
v2684,Karanja,p48,NavinGupta
v2685,Kaij,p16,AnaghBanerjee
v2686,Mukhed,p39,BhooshitDwivedi
v2687,Teosa,p5,BhagwantiPatel
v2688,Mahad,p43,BhishamGandhi
v2689,Mahad,p40,NOTA
v2690,Hingna,p23,ShardaAdiga
v2691,Baglan,p25,NOTA
v2692,Ulhasnagar,p14,NOTA
v2693,Hingna,p24,HiranyaKhatri
v2694,Niphad,p2,NOTA
v2695,Baglan,p25,UrmilaBhat
v2696,Kaij,p15,ChaitanSharma
v2697,Teosa,p6,NOTA
v2698,Mukhed,p39,BhooshitDwivedi
v2699,Mahad,p40,NOTA
v2700,Hingna,p22,BaijayantiJain
v2701,Mahad,p43,NOTA
v2702,Kaij,p19,NOTA
v2703,Kaij,p19,NOTA
v2704,Ulhasnagar,p11,DhanapatiKhan
v2705,Teosa,p5,AmareshKakkar
v2706,Mukhed,p38,UditGill
v2707,Mahad,p40,LakshmanPillai
v2708,Mukhed,p39,BhooshitDwivedi
v2709,Baglan,p25,NOTA
v2710,Mahad,p40,NOTA
v2711,Baglan,p26,DiptenduNamboothiri
v2712,Niphad,p0,ChidambarPanicker
v2713,Baglan,p29,UrmilaBhat
v2714,Mukhed,p35,NawalTandon
v2715,Teosa,p8,AmareshKakkar
v2716,Ulhasnagar,p14,SwaraIyer
v2717,Baglan,p28,UrmilaBhat
v2718,Chembur,p30,NOTA
v2719,Ulhasnagar,p13,DeeptenduMenon
v2720,Kaij,p15,NOTA
v2721,Chembur,p30,SanyaKaniyar
v2722,Baglan,p26,KanakPandey
v2723,Teosa,p9,AmareshKakkar
v2724,Niphad,p0,KamaVarma
v2725,Baglan,p26,KanakPandey
v2726,Mukhed,p36,BhaaswarMarar
v2727,Mahad,p41,AmritaJha
v2728,Baglan,p25,DiptenduNamboothiri
v2729,Mukhed,p36,NawalTandon
v2730,Mahad,p40,LakshmanPillai
v2731,Kaij,p15,NOTA
v2732,Kaij,p18,NOTA
v2733,Ulhasnagar,p13,BhavesChaturvedi
v2734,Chembur,p30,SanyaKaniyar
v2735,Mahad,p43,AmritaJha
v2736,Chembur,p31,DinakarShah
v2737,Kaij,p19,AnaghBanerjee
v2738,Niphad,p3,PranBanerjee
v2739,Baglan,p28,UrmilaBhat
v2740,Baglan,p27,UrmilaBhat
v2741,Mukhed,p36,UditGill
v2742,Baglan,p29,KanakPandey
v2743,Baglan,p28,NOTA
v2744,Karanja,p46,AnalMalik
v2745,Hingna,p20,HiranyaKhatri
